date,United States,Germany,Canada,France,Italy,Spain,Belgium,Australia,Austria,Denmark,Finland,Iceland,Ireland,Japan,Korea,Netherlands,New Zealand,Norway,Portugal,Sweden,United Kingdom
Monthly,Markit,Bloomberg,Markit,Markit,Markit,Markit,Bloomberg,Markit,Markit,Bloomberg,Markit,Bloomberg,Markit,Bloomberg,Bloomberg,Markit,Markit,Markit,Bloomberg,Bloomberg,Markit
2/28/2009,83.6076622807,72.7687,12.5007274,78.574329095,175.7993048506,145.1174318288,132.5408,133.6156902107,191.3078926342,115.1315789474,71.3039595971,1023.519,324.5691919292,82.127,382.19205,113.2407973926,151.1527765254,48.84246286,135.4395,121.7485,143.7302326874
3/31/2009,77.4791666667,72.3384090909,80.3182479455,75.9124584111,170.1230180644,125.1995476008,123.7285454545,157.8404750745,205.0912766505,118.5755909091,71.7948056484,952.8418181818,292.216151144,100.6413636364,401.6608636364,107.1699447574,201.7047371371,53.4692208631,116.3378636364,125.7845454545,134.472147963
4/30/2009,45.4900728597,44.0723636364,51.3636363636,45.8883853718,118.9268230816,92.4084986057,76.4966818182,108.5616051311,133.1230499006,75.5379090909,45.3380297765,847.7238636364,228.0809978466,75.3186363636,294.5323181818,69.4810218053,131.4017198501,38.6383713932,82.6055,80.8797727273,96.3995216535
5/31/2009,32.6164628329,33.767047619,53.5038453256,35.9745584063,91.0484211651,80.3268366912,55.3653333333,75.015695953,97.5609986995,51.7317619048,33.3753397835,743.365,192.3524020353,51.2619047619,178.3605714286,45.3660722684,95.6251149935,35.5613206228,64.8682857143,54.6097619048,77.7597423072
6/30/2009,40.4966361836,35.8882272727,76.6546493943,37.5694932948,102.0640085776,94.1335159617,62.6038181818,56.9898667889,110.1519108318,53.4487272727,35.7314025487,672.7504545455,211.8438150913,43.3002272727,172.8090454545,49.4969327349,79.6892105382,31.1539277386,76.2427272727,74.9290909091,84.1084107669
7/31/2009,32.9991327086,31.9747826087,77.2170878761,33.3676631423,81.6882732184,77.3162415812,50.0328695652,51.328049918,88.177996678,43.589826087,30.1978136456,618.1904347826,170.8382556728,49.9741304348,167.1300869565,38.5660376249,71.6786350812,27.5748045796,62.9414782609,54.447826087,66.4395080594
8/31/2009,24.706402489,23.2242857143,38.6946999643,25.4812532456,71.2277882119,63.6327767614,37.5924285714,46.2569351377,70.4598073508,36.259952381,23.6726918265,475.1178571429,146.2113940444,38.9071428571,134.774,32.7272436077,61.0111574082,21.5270142015,53.0041428571,48.4514285714,55.5546118408
9/30/2009,22.7934831026,22.0980454545,52.1981818182,24.0803113699,69.3429463816,67.1356920694,34.7980454545,34.0695191,68.1016369172,34.5729545455,21.3918103083,394.6625,144.5306870962,40.4986363636,120.9764090909,31.4626793048,45.0024829667,18.4906161952,53.3261818182,47.6463636364,48.9669664991
10/31/2009,20.7063966173,19.9389090909,53.4153384909,22.3689772672,69.71131891,68.3905636787,34.0721818182,29.992926678,59.0915171046,30.5802272727,18.3081237389,377.7404545455,121.3531593752,49.1418181818,95.9717727273,27.3528824168,40.260494958,15.7700572687,52.0012727273,45.6763636364,43.5370263719
11/30/2009,27.712893574,22.3067142857,67.91,25.1939581919,80.832006009,79.3591947296,42.7327142857,31.8784160648,64.6941083432,32.1505238095,20.8788259506,369.7823809524,153.2498723521,69.6776190476,101.4498095238,29.906359535,42.9441836166,16.7506469402,64.3316190476,52.1214285714,61.3161750043
12/31/2009,35.6139209964,24.0207826087,72.457173913,28.7743248468,98.5432096092,99.9740781686,50.1288695652,38.5796220324,78.1989108281,30.8612608696,25.8646869236,412.5389130435,158.9396191606,67.3373913043,89.6606956522,31.0462853144,50.0379775075,16.8868237411,78.8606086957,53.2204347826,78.5086452107
1/31/2010,39.6571600125,30.1006190476,54.2236052256,40.6031903559,106.5492560614,119.234148772,57.6557619048,39.190691728,80.7385222514,32.1609047619,28.7717445077,546.3278571429,149.9424841662,76.8295238095,90.8087619048,32.6332286064,51.029815015,16.8564390402,119.8663809524,50.3571428571,80.0983036912
2/28/2010,49.5874235606,43.05185,56.6384786798,60.4593096222,131.7314819618,140.4431405466,69.35115,54.698961057,85.390587512,40.44185,33.2186922049,587.3515,155.5636002839,79.8455,111.0791,41.5618240223,66.8386793029,18.9165097327,186.03805,47.8635,90.6428874955
3/31/2010,36.0832310675,30.1662173913,50.2185456522,42.099890067,101.1764195874,104.4648139363,53.1187826087,36.7692947465,55.0573576034,32.3357391304,23.7259128507,426.9658695652,126.239071155,61.7691304348,82.4511304348,33.1690868398,46.2310904544,#N/A,125.5742608696,34.4134782609,74.8423840301
4/30/2010,40.1483371661,36.6113181818,36.5912314354,55.942908853,131.0145074193,149.2856917042,65.0219090909,38.3763396334,64.3567668206,36.7263181818,25.8104526085,390.3545454545,165.78871143,65.9440909091,80.7441363636,37.0755677833,46.7907927659,#N/A,212.6394545455,36.4254545455,75.2128712044
5/31/2010,39.5909315739,45.9600952381,42.5546013826,70.8444471654,170.5743506356,203.0034320459,94.6058095238,49.6435069262,71.231955939,42.0881428571,28.5806317163,323.5321428571,218.2080279593,84.4661904762,118.6476190476,46.3783215534,59.1764419036,#N/A,306.1901904762,37.1161904762,82.7837210199
6/30/2010,39.0583234687,42.8399545455,45.1042712002,87.6183084691,201.4004676335,250.5133687574,127.5320909091,56.8661677191,89.4030060759,43.042,33.7314292183,334.0011363636,260.992135969,92.6863636364,130.3081363636,51.2003114444,66.9852016563,#N/A,317.8858636364,41.2272727273,82.4401878152
7/31/2010,36.6554636731,40.5903181818,42.4771796867,77.5164394001,165.5091950307,215.9355520421,114.7378181818,52.0861621246,84.5138286982,37.9476363636,30.05743535,319.1770454545,240.52292017,84.7054545455,113.8220454545,45.0119101856,62.0677071304,24.3134221351,272.9041363636,37.8727272727,68.1521882428
8/31/2010,45.3182211622,42.0985909091,41.0205244797,71.9828778536,181.8921891274,215.6259623736,114.0817727273,48.2406534389,83.8265235795,37.9655454545,28.3832887067,311.885,275.4978269889,68.6577272727,110.5963181818,46.7060235011,57.2822261523,23.5872752227,271.7312727273,37.3981818182,63.9610984219
9/30/2010,47.0366202632,40.0699090909,41.6994021823,76.7376452639,197.0302921058,227.0575298164,132.4064090909,47.1183289065,86.8413453972,36.4448181818,30.1102945601,305.1359090909,407.0871951023,65.4754545455,107.2982272727,46.7345846371,58.6639724767,23.1978568695,356.4968181818,33.7440909091,67.468934109
10/31/2010,41.747056067,34.3829047619,42.5575971971,70.794049461,176.1959155934,208.7408625466,121.5634761905,39.5662118037,74.4183284878,31.5577619048,28.6646045319,291.2523809524,430.8929580017,55.0161904762,83.6614285714,44.7910037435,50.6560637095,22.1442684581,370.8066190476,29.95,57.2799754256
11/30/2010,41.7627450052,39.6472272727,41.8031517611,82.9195258875,196.9106460978,272.5373830714,141.7255454545,44.8879602887,76.6650267251,33.7107272727,29.1508135485,275.5390909091,562.3741811026,57.5490909091,89.9158636364,50.6292313791,55.723198889,22.6247549572,453.4626363636,29.7513636364,61.269560125
12/31/2010,40.8356596854,53.7252173913,41.6967133171,101.7609734678,217.8438497215,330.3980067816,208.0311304348,51.792817738,93.272715103,43.7337391304,32.2717781551,269.2913043478,577.6612388196,70.512173913,98.3444347826,59.860996937,63.4824449796,22.392987,467.4500869565,32.5760869565,69.5705771631
1/31/2011,45.7910850596,58.4513809524,43.7929987649,102.2785967348,211.0666963912,302.5478678587,205.6901904762,53.1154783642,94.8558436804,47.1177142857,36.2763577818,291.0795238095,627.3858045521,79.9695238095,98.2371904762,59.71753755,64.1908723085,22.2815439164,481.4837142857,34.2223809524,67.9983815074
2/28/2011,47.1828923712,53.79635,45.2970836688,89.8275180535,175.024303553,243.3282377957,166.83945,52.7722702256,84.7352971011,46.7564,37.4537647419,254.5,584.0408213676,79.45875,99.41945,53.7206400442,63.4682726442,21.277766791,442.63995,33.08275,61.1960597957
3/31/2011,43.1405177935,46.6522173913,42.93998667,79.9814398085,163.42955509,231.3488325338,152.2875217391,53.0037116885,69.7564871724,42.0463913043,33.1025603383,237.7419565217,607.749597056,93.7745652174,102.5979565217,44.0070151368,64.9511706507,18.4098734083,517.5342608696,31.0839130435,57.0962499546
4/30/2011,43.1467947296,42.7052380952,42.6436394939,71.3994672144,142.7969488326,229.1635865793,135.7316190476,51.2591648864,60.4641610931,33.8093809524,27.3508179378,238.9576190476,616.0051812825,84.929047619,97.7760952381,35.6147659514,62.9906928112,16.773212237,607.0341904762,24.9035714286,54.765501155
5/31/2011,45.5524875007,39.6144090909,43.5653287158,73.5653039649,154.2781659727,244.9464654285,143.8817272727,50.5599325395,63.6007877864,31.1215909091,28.5665227768,222.1275,677.6096186316,82.6363636364,97.1477272727,31.2125562976,62.6948863655,16.2681098643,644.4195,23.4986363636,57.9942529301
